fold,train_acc,train_loss,val_acc,val_loss
0,1.0,70.90279388427734,0.8181818723678589,71.8065414428711
1,1.0,70.89681243896484,0.800000011920929,72.2896957397461
2,1.0,70.90485382080078,0.699999988079071,72.55217742919922
3,1.0,70.92340087890625,0.699999988079071,72.23861694335938
4,0.9756097793579102,70.96867370605469,0.6000000238418579,73.81920623779297
5,1.0,70.90873718261719,0.5454545617103577,73.28416442871094
6,1.0,70.90827178955078,0.6000000238418579,72.7709732055664
7,1.0,70.90911102294922,0.9000000357627869,71.65962982177734
8,1.0,70.89789581298828,0.6000000238418579,73.23407745361328
9,1.0,70.90338897705078,0.6000000238418579,73.09545135498047
10,1.0,70.91057586669922,0.7272727489471436,72.0364761352539
11,1.0,70.900634765625,0.800000011920929,72.0685806274414
12,1.0,70.90054321289062,0.5,73.7918930053711
13,1.0,70.91661071777344,0.9000000357627869,71.50957489013672
14,1.0,70.90949249267578,0.9000000357627869,71.64520263671875
15,1.0,70.91280364990234,0.5454545617103577,72.59632873535156
16,1.0,70.904296875,0.4000000059604645,73.3974380493164
17,1.0,70.899658203125,0.699999988079071,72.42642211914062
18,1.0,70.90771484375,0.9000000357627869,71.36499786376953
19,1.0,70.90773010253906,0.800000011920929,71.30846405029297
20,0.9750000238418579,70.93867492675781,0.6363636255264282,72.4112777709961
21,1.0,70.90817260742188,0.699999988079071,72.92256164550781
22,0.878048837184906,71.27665710449219,0.699999988079071,71.6708984375
23,1.0,70.9028549194336,0.4000000059604645,73.68869018554688
24,1.0,70.90595245361328,0.699999988079071,72.44304656982422
